Date;Close
2010-08-16;0.053885959
2010-08-17;0.057588048
2010-08-18;0.055942675
2010-08-19;0.054873183
2010-08-20;0.053885959
2010-08-21;0.054626377
2010-08-22;0.054297302
2010-08-23;0.053392347
2010-08-24;0.053474616
2010-08-25;0.053310079
2010-08-26;0.05265193
2010-08-27;0.053474616
2010-08-28;0.052734198
2010-08-29;0.05265193
2010-08-30;0.053474616
2010-08-31;0.049361184
2010-09-01;0.051746975
2010-09-02;0.052158318
2010-09-03;0.050101602
2010-09-04;0.051335631
2010-09-05;0.050677482
2010-09-06;0.050677482
2010-09-07;0.05018387
2010-09-08;0.051006557
2010-09-09;0.050266139
2010-09-10;0.05084202
2010-09-11;0.052405124
2010-09-12;0.050595214
2010-09-13;0.051171094
2010-09-14;0.051006557
2010-09-15;0.049690259
2010-09-16;0.050924288
2010-09-17;0.048538498
2010-09-18;0.05018387
2010-09-19;0.051582437
2010-09-20;0.051088825
2010-09-21;0.051582437
2010-09-22;0.051171094
2010-09-23;0.051253363
2010-09-24;0.051171094
2010-09-25;0.051006557
2010-09-26;0.051006557
2010-09-27;0.051171094
2010-09-28;0.050924288
2010-09-29;0.050924288
2010-09-30;0.050924288
2010-10-01;0.051006557
2010-10-02;0.050512945
2010-10-03;0.050266139
2010-10-04;0.050430676
2010-10-05;0.050512945
2010-10-06;0.051664706
2010-10-07;0.055119989
2010-10-08;0.071491448
2010-10-09;0.077167984
2010-10-10;0.079389238
2010-10-11;0.078155208
2010-10-12;0.078072939
2010-10-13;0.086382072
2010-10-14;0.083914013
2010-10-15;0.086382072
2010-10-16;0.083091326
2010-10-17;0.083914013
2010-10-18;0.084243087
2010-10-19;0.079800581
2010-10-20;0.081445954
2010-10-21;0.088027445
2010-10-22;0.084325356
2010-10-23;0.086793415
2010-10-24;0.094608936
2010-10-25;0.108594605
2010-10-26;0.123649766
2010-10-27;0.154418237
2010-10-28;0.142407016
2010-10-29;0.156310416
2010-10-30;0.163632325
2010-10-31;0.158367132
2010-11-01;0.160835191
2010-11-02;0.159436624
2010-11-03;0.158860744
2010-11-04;0.189217872
2010-11-05;0.213898464
2010-11-06;0.320847696
2010-11-07;0.279713376
2010-11-08;0.199912795
2010-11-09;0.172764144
2010-11-10;0.197444736
2010-11-11;0.183541336
2010-11-12;0.220644493
2010-11-13;0.227061446
2010-11-14;0.229529506
2010-11-15;0.220644493
2010-11-16;0.183459067
2010-11-17;0.189135603
2010-11-18;0.220315418
2010-11-19;0.230352192
2010-11-20;0.232820251
2010-11-21;0.227719596
2010-11-22;0.236851415
2010-11-23;0.232820251
2010-11-24;0.232820251
2010-11-25;0.230352192
2010-11-26;0.233972012
2010-11-27;0.232820251
2010-11-28;0.222125328
2010-11-29;0.189135603
2010-11-30;0.171283309
2010-12-01;0.187161156
2010-12-02;0.209785032
2010-12-03;0.206576555
2010-12-04;0.168650712
2010-12-05;0.156310416
2010-12-06;0.167828026
2010-12-07;0.191685931
2010-12-08;0.196457512
2010-12-09;0.16453728
2010-12-10;0.167828026
2010-12-11;0.187572499
2010-12-12;0.180991008
